Dptstt,Latitude,Longitude,normalized_latitude,normalized_longitude
上海,31.22222,121.45806,0.366521184,0.783707829
兰州,36.054871,103.828812,0.577247257,0.046921617
北京,39.8595,116.3725,0.743146787,0.571164986
南京,32.008,118.771,0.400784849,0.671406456
南宁,22.816668,108.316666,0,0.234484294
南昌,28.683332,115.883331,0.255813852,0.550720951
合肥,31.848398,117.272362,0.393825459,0.608773279
呼和浩特,40.81056,111.65222,0.784617429,0.373888437
哈尔滨,45.75,126.633331,1,1
太原,37.87146,112.551208,0.656458992,0.411460202
广州,23.128994,113.25325,0.013618867,0.440800924
成都,30.657,104.066002,0.341874962,0.056834594
昆明,25.043333,102.706108,0.097092956,0
杭州,30.25,120.166664,0.324127868,0.729736
武汉,30.596069,114.297691,0.339218087,0.484451664
沈阳,41.799999,123.400002,0.827761574,0.864868188
济南,36.666668,116.98333,0.603924454,0.596693649
石家庄,38.042805,114.514893,0.663930431,0.493529274
福州,26.0753,119.308197,0.14209152,0.693857745
西安,34.341568,108.940178,0.502539273,0.260542981
贵阳,26.646999,106.629997,0.167020257,0.163992662
重庆,29.5628,106.5528,0.29416275,0.160766337
长春,43.891262,125.331345,0.918950373,0.945585578
长沙,28.228001,112.939003,0.235959302,0.427667473
郑州,34.74661,113.6253,0.52020099,0.456350158
